Year,Zone,Sex,Age Group,Population,Prevalence,Crude Prevalence Rate
01/01/2016 12:00:00 AM,Northern,F,70 to 79,7215,782,10.84
01/01/2016 12:00:00 AM,Northern,F,80 +,5161,395,7.65
01/01/2016 12:00:00 AM,Northern,M,0 to 9,7353,468,6.36
01/01/2016 12:00:00 AM,Northern,M,10 to 19,8298,1683,20.28
01/01/2016 12:00:00 AM,Northern,M,20 to 29,8739,1894,21.67
01/01/2016 12:00:00 AM,Northern,M,30 to 39,8711,830,9.53
01/01/2016 12:00:00 AM,Northern,M,40 to 49,10396,657,6.32
01/01/2016 12:00:00 AM,Northern,M,50 to 59,12533,718,5.73
01/01/2016 12:00:00 AM,Northern,M,60 to 69,11657,659,5.65
01/01/2016 12:00:00 AM,Northern,M,70 to 79,6976,361,5.17
01/01/2016 12:00:00 AM,Northern,M,80 +,3291,183,5.56
01/01/2016 12:00:00 AM,Unknown,F,0 to 9,2546,89,3.5
01/01/2016 12:00:00 AM,Unknown,F,10 to 19,2072,257,12.4
01/01/2016 12:00:00 AM,Unknown,F,20 to 29,5404,737,13.64
01/01/2016 12:00:00 AM,Unknown,F,30 to 39,4096,366,8.94
01/01/2016 12:00:00 AM,Unknown,F,40 to 49,3730,301,8.07
01/01/2016 12:00:00 AM,Unknown,F,50 to 59,3854,358,9.29
01/01/2016 12:00:00 AM,Unknown,F,60 to 69,3207,317,9.88
01/01/2016 12:00:00 AM,Unknown,F,70 to 79,1879,169,8.99
01/01/2016 12:00:00 AM,Unknown,F,80 +,1307,95,7.27
01/01/2016 12:00:00 AM,Unknown,M,0 to 9,2577,145,5.63
01/01/2016 12:00:00 AM,Unknown,M,10 to 19,2127,331,15.56
01/01/2016 12:00:00 AM,Unknown,M,20 to 29,4752,774,16.29
01/01/2016 12:00:00 AM,Unknown,M,30 to 39,3811,258,6.77
01/01/2016 12:00:00 AM,Unknown,M,40 to 49,3555,154,4.33
01/01/2016 12:00:00 AM,Unknown,M,50 to 59,3695,164,4.44
01/01/2016 12:00:00 AM,Unknown,M,60 to 69,2988,126,4.22
01/01/2016 12:00:00 AM,Unknown,M,70 to 79,1686,87,5.16
01/01/2016 12:00:00 AM,Unknown,M,80 +,915,46,5.03
01/01/2016 12:00:00 AM,Western,F,0 to 9,8489,394,4.64
01/01/2016 12:00:00 AM,Western,F,10 to 19,9656,1673,17.33
01/01/2016 12:00:00 AM,Western,F,20 to 29,10550,2002,18.98
01/01/2016 12:00:00 AM,Western,F,30 to 39,11139,1512,13.57
01/01/2016 12:00:00 AM,Western,F,40 to 49,13250,1604,12.11
01/01/2016 12:00:00 AM,Western,F,50 to 59,18168,2081,11.45
01/01/2016 12:00:00 AM,Western,F,60 to 69,16967,1931,11.38
01/01/2016 12:00:00 AM,Western,F,70 to 79,10957,1185,10.82
01/01/2016 12:00:00 AM,Western,F,80 +,7609,633,8.32
01/01/2016 12:00:00 AM,Western,M,0 to 9,8913,558,6.26
01/01/2016 12:00:00 AM,Western,M,10 to 19,10156,2166,21.33
01/01/2016 12:00:00 AM,Western,M,20 to 29,10933,2445,22.36
